text,label
والا همین بچه و صنعتی دقیقا یکسال پیش برای حرفای ابکی زیباکلام و رامین کلی کف های سوت زدن ....حالا دیگه این یذره تحلیل ابکی من که چیزی نیس :)))))؄,1
گرمه خسته ام سرم درد میکنه استرس مزخرفی دارم محل کارم خیلی بیخود شده ولی هیچکدوم اصلا مهم نیس چون امروز ساعت نه صبح خواستگار میبینم!! و خوشحال شدم وای باورم نمیشه #خواستگار !!! نکنه خواب داشتم نه صبح! اصن بیا وسط قرها رو بریز!ذ,1
حق میدم درک نکنی ما خوشگلا و جذابا با نشون دادن خودمون ازدیاد میشیم به مشکل بر بخوریم باعث خواستگار ... فکر کنم ریا شد...۵,1
چقدر خوش که و لعاب و هوس برانگیز اند، به شدت حق داشتی و داری،‌من جزو اونام رنگ یک دونه از اینا بخورم یک کیلو چاق میشمأ,1
خوشبخت لعنتیِ٠,1
هیچ رضایتی از سیستم فعلی توی کشور وجود جمهوری فقط مشکل مردم ترس از عدم موفقیته، راه پیروزی باور داشتن و اتحاده اتحاد و اتحاد و اتحاد هدف یکیه، حذف نداره، اسلامی #IranStrikesڶ,1
بدخواهات پیش مرگت بشن کل خنده فدای نسلشون هات؇,1
عزیز من، من طرفدار کیروش نیستم، جام، میره بعد از و ولی برانکو امتحان پس داده سال ۲۰۰۶.ّ,1
شهبانوی هنر دوست و هنرمند ایران، در سوگ از دست رفتن هنرمندی که نادیده گرفتنش تا مردم رو به یادِ روزگارِ لوتی و لوتی گری، روزگارِ مرام روزگارِ مردونگی، و خوشِ قیصر و فردینش نیندازد.. شهبانو هنرمند واقعیِ ایران تو بودی، و هستی هنر ایران مدیون توست. pic.twitter.com/GWhA9oaBLlك,1
گفتند و باور كرديم! از كجا روحانى؟ كنيم؟ زهرا كاظمى؟ دوران آقاى شروع راستى رهبر جنبش سبز كى بود؟ شما داخلى ها را داشته باشيد! خوشا به حال #ناصر !!!ڥ,1
هیجانات و عواطف درونی او از جوانمردی، احساسات در خوش قلبی، بشر دوستی، وحشت ، غضب، عشق، رنج های غیرقابل توصیف نیک، شلیک خنده ای مجتمع شده بود. قحطی زده می خندد؛ گدا می خندد؛ محکوم به زجر و شکنجه می خندد؛ فاحشه می خندد؛ یتیم می خندد؛ برده می خندد؛ سرباز می خندد؛ همه ی مردم می خندند/ pic.twitter.com/IvbnwUYCDqڹ,1
گاهی غمگین میشم از فکری که تو ذهنم میادا که همیشه واسه خودم توضیح میدم این فکر به معنای قدردان نبودن از مادرم نیست فقط دلم نمیخواد شبیهش باشم، چقدر خوبه ولی میبینم آدمای دیگه‌ای هم شبیهم هستن :)ٺ,1
محبوبم مغزم اگر نترکد رو چشمم:** پیداکردم، یک‌عکس از قدیم محبوبم محبوبم چه جوانم، چه شادم :/ژ,1
مومن دعوت حق تو شدم نفسم‌باز گرفته‌است در این شهر کسی بـرسـم زاین مردم پرحیله هواخواه شما چه بگویم که اگر از تو بگویم عمری نتوانم نیست تا به نـظـر گاه شما #احمد_الحسن #راه_حل_فقط_مهدی_است @AshaarAhmadi pic.twitter.com/f8enN8YRDlڜ,1
موافقم . ولی اینم در نظر بگیر که یبار زندگی می کنی . بنظرم در آینده چشمتو روی این طرز فکر الانت میبندی ..... نمیخوام جاج کنم . فقط یه نظره ..... اصن اینا رو ولش ایشالا شرایط ایران درست شه که این افکار سراغمون دیگه منفی نیادڏ,1
چه ما. سرحالی ، کاملا مشخصه که خاکش شور نیست، برعکس حیاط خونه ی درختایٷ,1
فکرمونو در مورد بعضی چیزا عوض نکنین =)) مثبت همینطور بذارین نگاه کنیم اگه نمیخواین مثبت باشیم نسبت بهش میتونین خنثی باشین! این مثبت اندیشی رو نگیرین از ماڐ,1
خوشبخت آنکه کره خر آمد! الاغ رفت! (البته ما هیچ وقت نتونستیم خودمونو راضی با کنیم،که #چشمان_کاملا_بسته زندگی کنیم)؄,1
دوره پیش آدم به نظرم انصافا خوب بود. یعنی حرکت در مسیری بود که روحانی امیدوار میشد . نمیدونم چرا داره اینطوری میکنه الانڀ,1
شما سربلندید آقا ولی خیلی از مردم نه از ... و نه از سپاه دل خوش ندارندێ,1
تیم مذاکره کننده هسته‌ای بند به بند برجام رو با نظر و تایید رهبر قبول و امضا کرد. آمریکا همیشه همون آمریکا بوده ولی دلیل بر این خوب که ایران حسن نیت نشون نده و نره پای میز مذاکره. اون مذاکرات الان باعث شده 5 کشور دیکه حمایت کنند از برجام. نمی‌شد نیست انصاف هم خوب چیزیه!ڷ,1
ملت عاشق تارکوفسکی و نولان و هیچکاک … علاقمند به ایشون قشنگ مشخصه با زندگیم چه کردم... https:// twitter.com/actortrivia/st atus/998871129266753536 منٹ,1
هرچقدر بالیدم به تیکه اول توییت بخش دومش شعفم رو کشت. باور کنید میرسه روزی که در همین جمهوری عدالتی که شه اجرا امریکا بخواب هم نبینه. کلمات میتونند امید ملتی رو بکشند یا ملتی رو از امید بارور.ط,1
